Datetime,CL,ES,GBP,GC,HG,HO,NQ,ZB
2016-01-05 04:30:00,35.03,2346.5,1.5517,1541.7,2.7635,-1.6599,6270.75,129.71875
2016-01-06 04:30:00,32.94,2323.0,1.547,1558.0,2.7585,-1.7015,6237.75,131.34375
2016-01-07 04:30:00,32.14,2270.75,1.5454,1573.4,2.692,-1.7252,6082.5,131.8125
2016-01-08 04:30:00,31.76,2249.5,1.536,1568.8,2.6845,-1.7471,6053.75,132.375
2016-01-11 04:30:00,30.01,2248.75,1.538,1558.4,2.6455,-1.7811,6058.0,131.25
2016-01-12 04:30:00,29.46,2258.75,1.5288,1550.7,2.6295,-1.8037,6096.5,133.25
2016-01-13 04:30:00,29.44,2219.25,1.5245,1558.0,2.6245,-1.8258,5968.25,133.40625
2016-01-14 04:30:00,30.09,2248.5,1.5249,1543.0,2.6485,-1.8047,6038.25,133.375
2016-01-15 04:30:00,28.63,2212.75,1.5094,1553.3,2.618,-1.8521,5935.0,134.9375
2016-01-19 04:30:00,27.38,2208.25,1.5,1552.0,2.6375,-1.8839,5929.75,134.625
2016-01-20 04:30:00,26.28,2188.25,1.5027,1565.7,2.6505,-1.9248,5917.5,136.21875
2016-01-21 04:30:00,27.8,2197.75,1.5062,1566.1,2.6625,-1.8847,5918.75,135.125
2016-01-22 04:30:00,30.2,2235.5,1.5105,1562.9,2.6725,-1.7939,6036.0,134.625
2016-01-25 04:30:00,27.75,2208.0,1.5086,1572.8,2.662,-1.866,5979.5,135.84375
2016-01-26 04:30:00,28.46,2224.25,1.5187,1584.6,2.7065,-1.837,6000.0,135.90625
2016-01-27 04:30:00,30.11,2214.25,1.5073,1589.6,2.729,-1.768,5932.5,135.59375
2016-01-28 04:30:00,31.67,2218.25,1.5199,1579.5,2.7235,-1.7424,5938.5,135.9375
2016-01-29 04:30:00,31.69,2267.5,1.5081,1582.3,2.7305,-1.7266,6059.0,137.09375
2016-02-01 04:30:00,29.27,2265.0,1.5274,1592.5,2.73,-1.7672,6075.5,136.75
2016-02-02 04:30:00,27.66,2233.0,1.525,1593.5,2.7155,-1.799,5977.25,139.28125
2016-02-03 04:30:00,30.7,2244.25,1.5441,1606.9,2.769,-1.712,5961.25,138.0
2016-02-04 04:30:00,29.64,2242.0,1.5431,1619.9,2.7905,-1.727,5936.75,139.0
2016-02-05 04:30:00,28.95,2210.0,1.5345,1638.0,2.759,-1.7417,5809.0,139.34375
2016-02-08 04:30:00,28.07,2187.25,1.5267,1653.5,2.763,-1.7566,5750.75,141.46875
2016-02-09 04:30:00,26.3,2182.5,1.5313,1653.3,2.709,-1.8205,5731.25,142.0625
2016-02-10 04:30:00,25.28,2178.5,1.5365,1661.3,2.686,-1.826,5752.25,143.6875
2016-02-11 04:30:00,25.25,2161.75,1.5312,1710.9,2.682,-1.8002,5752.0,144.125
2016-02-12 04:30:00,26.97,2196.25,1.5337,1702.4,2.703,-1.7524,5804.5,142.15625
2016-02-16 04:30:00,27.07,2225.25,1.5145,1664.8,2.718,-1.7752,5880.75,141.4375
2016-02-17 04:30:00,29.38,2264.0,1.5131,1672.9,2.7425,-1.7067,6000.25,140.3125
2016-02-18 04:30:00,28.46,2254.5,1.5176,1695.2,2.7405,-1.7277,5949.5,142.3125
2016-02-19 04:30:00,27.69,2250.5,1.5242,1690.5,2.7495,-1.7768,5950.5,142.40625
2016-02-22 04:30:00,29.08,2269.75,1.4992,1672.8,2.7855,-1.7526,5996.5,142.3125
2016-02-23 04:30:00,27.1,2250.5,1.4859,1689.9,2.7695,-1.7917,5945.5,142.84375
2016-02-24 04:30:00,27.95,2269.75,1.477,1693.3,2.7875,-1.7518,6006.75,142.1875
2016-02-25 04:30:00,28.81,2286.0,1.48,1697.6,2.748,-1.7422,6035.5,142.65625
2016-02-26 04:30:00,28.57,2277.5,1.4712,1686.7,2.783,-1.7537,6016.25,141.3125
2016-02-29 04:30:00,29.63,2264.5,1.4753,1703.2,2.792,-1.7259,5988.75,141.6875
2016-03-01 04:30:00,29.62,2313.75,1.4796,1696.6,2.8055,-1.731,6126.75,139.5625
2016-03-02 04:30:00,30.46,2318.5,1.4919,1704.4,2.8505,-1.7104,6116.25,139.9375
2016-03-03 04:30:00,30.42,2327.75,1.5016,1728.8,2.8725,-1.7014,6113.25,140.5
2016-03-04 04:30:00,32.06,2331.0,1.5074,1724.0,2.9225,-1.6574,6109.5,139.5
2016-03-07 04:30:00,33.71,2336.0,1.5107,1731.9,2.9365,-1.5982,6092.25,139.375
2016-03-08 04:30:00,32.06,2318.75,1.5056,1725.9,2.877,-1.6234,6062.75,141.15625
2016-03-09 04:30:00,33.91,2325.5,1.5053,1717.8,2.8965,-1.596,6084.0,140.4375
2016-03-10 04:30:00,33.75,2326.0,1.5122,1737.0,2.8875,-1.5994,6076.5,139.5
2016-03-11 04:30:00,34.22,2357.25,1.5226,1715.0,2.8985,-1.607,6146.25,138.15625
2016-03-14 03:30:00,33.1,2354.75,1.5142,1699.9,2.902,-1.62,6156.0,138.625
2016-03-15 03:30:00,32.45,2352.0,1.4992,1696.7,2.899,-1.6372,6159.0,138.5625
2016-03-16 03:30:00,34.33,2362.5,1.5103,1727.0,2.9165,-1.5925,6188.75,139.1875
2016-03-17 03:30:00,35.9,2376.75,1.5322,1722.5,2.951,-1.5708,6196.5,140.03125
2016-03-18 03:30:00,35.36,2384.0,1.531,1719.9,2.9485,-1.5766,6197.5,140.34375
2016-03-21 03:30:00,35.85,2388.5,1.5206,1708.0,2.9495,-1.583,6216.5,139.03125
2016-03-22 03:30:00,35.45,2388.5,1.5047,1712.7,2.954,-1.5755,6237.25,138.90625
2016-03-23 03:30:00,33.99,2373.5,1.4958,1684.0,2.901,-1.6166,6195.5,140.40625
2016-03-24 03:30:00,33.82,2375.5,1.4988,1680.6,2.9005,-1.6225,6201.0,140.15625
2016-03-28 03:30:00,33.53,2373.25,1.5091,1685.7,2.906,-1.6421,6191.5,140.34375
2016-03-29 03:30:00,32.72,2394.0,1.522,1706.4,2.875,-1.6574,6261.25,141.75
2016-03-30 03:30:00,32.53,2400.75,1.5218,1688.8,2.85,-1.6584,6280.75,140.6875
2016-03-31 03:30:00,32.34,2397.5,1.5198,1696.7,2.8455,-1.6476,6275.5,141.75
2016-04-01 03:30:00,30.86,2410.0,1.5061,1685.8,2.8315,-1.6967,6329.25,141.9375
2016-04-04 03:30:00,29.69,2402.0,1.5103,1679.2,2.804,-1.748,6300.25,142.0625
2016-04-05 03:30:00,30.79,2387.0,1.4994,1695.1,2.8055,-1.747,6276.5,143.40625
2016-04-06 03:30:00,31.96,2404.5,1.496,1686.2,2.805,-1.692,6333.5,142.46875
2016-04-07 03:30:00,31.76,2380.5,1.4893,1704.2,2.7415,-1.7003,6269.5,144.25
2016-04-08 03:30:00,33.89,2387.0,1.4959,1702.3,2.7485,-1.6361,6270.0,143.375
2016-04-11 03:30:00,34.59,2378.25,1.5073,1722.0,2.7445,-1.618,6247.25,143.1875
2016-04-12 03:30:00,35.87,2400.75,1.5113,1719.6,2.8125,-1.5611,6290.0,142.3125
2016-04-13 03:30:00,35.78,2421.0,1.5044,1706.3,2.834,-1.5691,6349.25,142.8125
2016-04-14 03:30:00,35.68,2423.0,1.4989,1691.5,2.8305,-1.5757,6349.25,142.25
2016-04-15 03:30:00,34.63,2420.0,1.5037,1698.0,2.8165,-1.5968,6339.25,143.1875
2016-04-18 03:30:00,34.35,2431.5,1.5113,1696.2,2.8265,-1.5875,6348.0,142.625
2016-04-19 03:30:00,35.3,2439.5,1.5236,1714.0,2.888,-1.5639,6329.75,142.1875
2016-04-20 03:30:00,36.85,2443.0,1.5169,1708.0,2.8975,-1.5016,6335.25,140.6875
2016-04-21 03:30:00,36.31,2427.75,1.516,1711.7,2.914,-1.5241,6300.75,139.9375
2016-04-22 03:30:00,36.63,2431.25,1.5241,1695.9,2.9275,-1.5213,6267.25,139.46875
2016-04-25 03:30:00,35.87,2429.5,1.5316,1701.6,2.9145,-1.5304,6274.5,138.875
2016-04-26 03:30:00,37.54,2429.25,1.5417,1707.0,2.9125,-1.4846,6211.75,138.34375
2016-04-27 03:30:00,38.21,2438.0,1.5383,1709.5,2.8875,-1.4507,6233.5,139.75
2016-04-28 03:30:00,38.76,2419.5,1.5449,1730.3,2.885,-1.4307,6185.5,140.21875
2016-04-29 03:30:00,38.87,2405.5,1.545,1757.1,2.938,-1.454,6136.25,140.25
2016-05-02 03:30:00,37.77,2421.0,1.5511,1755.6,2.9215,-1.4769,6172.75,139.0625
2016-05-03 03:30:00,36.76,2403.25,1.5371,1750.4,2.8735,-1.4911,6137.0,140.9375
2016-05-04 03:30:00,36.93,2392.0,1.5331,1743.7,2.839,-1.4943,6109.5,141.71875
2016-05-05 03:30:00,37.39,2388.5,1.5324,1741.8,2.8005,-1.5009,6099.0,142.53125
2016-05-06 03:30:00,37.44,2399.5,1.5262,1751.9,2.808,-1.5012,6134.25,142.1875
2016-05-09 03:30:00,36.12,2399.5,1.5246,1727.6,2.7585,-1.5534,6136.25,142.8125
2016-05-10 03:30:00,37.41,2422.25,1.5282,1729.5,2.7525,-1.4939,6196.5,142.625
2016-05-11 03:30:00,38.87,2404.5,1.5283,1740.9,2.754,-1.4432,6152.75,143.34375
2016-05-12 03:30:00,39.27,2405.25,1.5288,1726.9,2.731,-1.4438,6137.25,142.71875
2016-05-13 03:30:00,39.25,2387.75,1.5194,1736.5,2.734,-1.4315,6123.0,143.875
2016-05-16 03:30:00,40.77,2407.0,1.5238,1737.7,2.7475,-1.3915,6174.75,142.65625
2016-05-17 03:30:00,41.47,2389.75,1.5301,1742.5,2.746,-1.3612,6122.25,142.625
